Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Genre,Publisher,platforms,Years_of_Release,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy
LEGO Ninjago: Shadow of Ronin,0.060000000000000005,0.22,0.05,0.04,0.37,Action,Warner Bros. Interactive Entertainment,4,2.0,1,0,0,0,0,0,0,0,0,0,0,0
NBA Inside Drive 2002,0.28,0.08,0.0,0.01,0.37,Sports,Microsoft Game Studios,1,15.0,0,0,0,0,0,0,0,0,0,0,1,0
The Price is Right 2010 Edition,0.33999999999999997,0.0,0.0,0.03,0.37,Misc,Ubisoft,1,8.0,0,0,0,1,0,0,0,0,0,0,0,0
Guitar Hero On Tour: Modern Hits,0.13,0.2,0.0,0.04,0.37,Misc,Activision,1,8.0,0,0,0,1,0,0,0,0,0,0,0,0
Champion Jockey: G1 Jockey & Gallop Racer,0.11,0.13,0.09,0.04,0.37,Sports,Tecmo Koei,2,6.0,0,0,0,0,0,0,0,0,0,0,1,0
High Heat Major League Baseball 2003,0.18,0.14,0.0,0.05,0.37,Sports,3DO,3,15.0,0,0,0,0,0,0,0,0,0,0,1,0
Re-Volt,0.25,0.11000000000000001,0.0,0.01,0.37,Racing,Acclaim Entertainment,6,18.5,0,0,0,0,0,0,1,0,0,0,0,0
Xenosaga Episode III: Also sprach Zarathustra,0.09,0.07,0.18,0.02,0.37,Role-Playing,Namco Bandai Games,1,11.0,0,0,0,0,0,0,0,1,0,0,0,0
Theatrhythm Final Fantasy: Curtain Call,0.13,0.08,0.15,0.02,0.37,Misc,Square Enix,1,3.0,0,0,0,1,0,0,0,0,0,0,0,0
Overlord: Dark Legend,0.11,0.22,0.0,0.04,0.37,Action,Codemasters,1,8.0,1,0,0,0,0,0,0,0,0,0,0,0
Barbie Horse Adventures: Blue Ribbon Race,0.26,0.1,0.0,0.01,0.37,Sports,Knowledge Adventure,1,14.0,0,0,0,0,0,0,0,0,0,0,1,0
"Monsters, Inc. Scream Arena",0.29,0.07,0.0,0.01,0.37,Platform,THQ,1,15.0,0,0,0,0,1,0,0,0,0,0,0,0
Kileak: The DNA Imperative,0.08,0.06,0.21,0.02,0.37,Shooter,Sony Computer Entertainment,1,23.0,0,0,0,0,0,0,0,0,1,0,0,0
Scooby-Doo! Classic Creep Capers,0.3,0.06,0.0,0.0,0.37,Action,THQ,1,17.0,1,0,0,0,0,0,0,0,0,0,0,0
Tobal 2,0.0,0.0,0.35,0.02,0.37,Fighting,SquareSoft,1,20.0,0,0,1,0,0,0,0,0,0,0,0,0
Imagine: Salon Stylist,0.23,0.1,0.0,0.03,0.37,Simulation,Ubisoft,1,8.0,0,0,0,0,0,0,0,0,0,1,0,0
Greg Hastings Paintball 2,0.32999999999999996,0.0,0.0,0.02,0.36999999999999994,Shooter,505 Games,2,7.0,0,0,0,0,0,0,0,0,1,0,0,0
Greg Hastings Paintball 2,0.32999999999999996,0.0,0.0,0.02,0.36999999999999994,Shooter,Majesco Entertainment,2,7.0,0,0,0,0,0,0,0,0,1,0,0,0
Lost Planet 3,0.14,0.12,0.06999999999999999,0.03,0.36999999999999994,Shooter,Capcom,3,4.0,0,0,0,0,0,0,0,0,1,0,0,0
Jurassic Park: Operation Genesis,0.18,0.13,0.0,0.03,0.36000000000000004,Simulation,Konami Digital Entertainment,1,14.0,0,0,0,0,0,0,0,0,0,1,0,0
Jurassic Park: Operation Genesis,0.18,0.13,0.0,0.03,0.36000000000000004,Simulation,Vivendi Games,1,14.0,0,0,0,0,0,0,0,0,0,1,0,0
Danganronpa 2: Goodbye Despair,0.08,0.05,0.19,0.04,0.36,Misc,Nippon Ichi Software,6,4.0,0,0,0,1,0,0,0,0,0,0,0,0
Fragile Dreams: Farewell Ruins of the Moon,0.16,0.12,0.06,0.03,0.36,Role-Playing,Rising Star Games,1,8.0,0,0,0,0,0,0,0,1,0,0,0,0
